3470	0	10727
3470	1	3470
3470	2	23326
3470	3	27123
3470	4	27184
3470	5	27404
3470	6	27129
3470	7	27249
2192	0	9458
2192	1	16255
2192	2	22055
2192	3	27123
2192	4	27184
2192	5	27405
2192	6	1
2192	7	27229
2192	7	27302
22	0	7299
22	1	14531
22	2	19887
22	3	27122
22	4	27184
22	5	27404
22	6	22
22	7	27230
22	7	27228
2306	0	9572
2306	1	16354
2306	2	22169
2306	3	27122
2306	4	27184
2306	5	27404
2306	6	1
2306	7	27229
4695	0	11946
4695	1	18150
4695	2	24546
4695	3	27122
4695	4	27184
4695	5	27404
4695	6	15571
4695	7	27248
6547	0	13791
6547	1	19376
6547	2	26394
6547	3	27122
6547	4	27184
6547	5	27404
6547	6	27129
6547	6	27132
6547	7	27249
6547	7	27241
6968	0	14209
6968	1	19669
6968	2	26815
6968	3	27122
6968	4	27184
6968	5	27404
6968	6	15571
6968	7	27248
5982	0	13229
5982	1	17447
5982	2	25830
5982	3	27122
5982	4	27184
5982	5	27404
5982	6	14682
5982	7	27284
5982	7	27245
2610	0	9874
2610	1	16602
2610	2	22471
2610	3	27122
2610	4	27184
2610	5	27404
2610	6	15571
2610	7	27248
4825	0	12076
4825	1	18241
4825	2	24674
4825	3	27123
4825	4	27184
4825	5	27404
4825	6	194
4825	6	132
4825	7	27242
5088	0	12338
5088	1	15225
5088	2	24937
5088	3	27122
5088	4	27184
5088	5	27404
5088	6	1
5088	7	27229
3576	0	10832
3576	1	72
3576	2	23432
3576	3	27122
3576	4	27184
3576	5	27404
3576	6	15571
3576	7	27248
3009	0	10272
3009	1	3009
3009	2	22867
3009	3	27122
3009	4	27184
3009	5	27404
3009	6	1
3009	7	27229
4126	0	11378
4126	1	4126
4126	2	23980
4126	3	27122
4126	4	27184
4126	5	27404
4126	6	64
4126	7	27244
5422	0	12671
5422	1	18644
5422	2	25271
5422	3	27122
5422	4	27184
5422	5	27404
5422	6	14682
5422	7	27245
3289	0	10550
3289	1	17122
3289	2	23145
3289	3	27122
3289	4	27184
3289	5	27404
3289	6	9
3289	7	27248
3289	7	27244
3289	7	27247
3289	7	27270
3289	7	27269
3289	7	27232
3289	7	27258
7068	0	14309
7068	1	19726
7068	2	26915
7068	3	27122
7068	4	27184
7068	5	27404
7068	6	15571
7068	7	27303
6316	0	13561
6316	1	19230
6316	2	26164
6316	3	27123
6316	4	27184
6316	5	27404
6316	6	1
6316	7	27229
3513	0	10770
3513	1	3510
3513	2	23369
3513	3	27122
3513	4	27184
3513	5	27404
3513	6	46
3513	7	27293
1337	0	8606
1337	1	15596
1337	2	21202
1337	3	27122
1337	4	27184
1337	5	27418
1337	6	1
1337	7	27229
1337	7	27322
1337	7	27249
6942	0	14183
6942	1	19649
6942	2	26789
6942	3	27123
6942	4	27184
6942	5	27404
6942	6	10
6942	7	27229
6942	7	27257
6942	7	27290
5070	0	12320
5070	1	14527
5070	2	24919
5070	3	27123
5070	4	27184
5070	5	27404
5070	6	9
5070	6	96
5070	6	11524
5070	6	27145
5070	6	27129
5070	6	16914
5070	7	27232
5070	7	27249
5070	7	27398
5382	0	12631
